,addresse,prix,date_vente,details
39,"4 RUE HENRI MARTIN
93310 LE PRÉ-SAINT-GERVAIS","540 000€
4 909€/m²","Vendu le 04/01/2019
Analyser ce bien",Maison 5 pièces110m²153m²
40,"28 VOIE DE LA RESISTANCE
93500 PANTIN","390 000€
4 875€/m²","Vendu le 03/12/2018
Analyser ce bien",Maison 5 pièces80m²298m²
41,"7 PAS DU MANEGE
92120 MONTROUGE","1 145 700€
9 963€/m²","Vendu le 15/11/2018
Analyser ce bien",Maison 5 pièces115m²0m²
42,"30 RUE COPERNIC
75016 PARIS","5 600 000€
36 364€/m²","Vendu le 29/10/2018
Analyser ce bien",Maison 6 pièces154m²304m²
43,"59 BD CHANZY
93100 MONTREUIL","365 000€
6 083€/m²","Vendu le 26/10/2018
Analyser ce bien",Maison 2 pièces60m²64m²
44,"23 RUE DES MINIMES
92400 COURBEVOIE","1 046 000€
5 029€/m²","Vendu le 24/10/2018
Analyser ce bien",Maison 10 pièces208m²0m²
45,"23 RUE DE L YVETTE
75016 PARIS","2 890 000€
11 748€/m²","Vendu le 19/10/2018
Analyser ce bien",Maison 11 pièces246m²106m²
46,"127 RUE PAUL DE KOCK
93230 ROMAINVILLE","217 000€
6 200€/m²","Vendu le 10/10/2018
Analyser ce bien",Maison 2 pièces35m²86m²
47,"13 RUE JEAN LE GALLEU
94200 IVRY-SUR-SEINE","93 000€
4 895€/m²","Vendu le 26/09/2018
Analyser ce bien",Maison 1 pièce19m²0m²
48,"74 BD BINEAU
92200 NEUILLY-SUR-SEINE","2 240 000€
9 825€/m²","Vendu le 12/09/2018
Analyser ce bien",Maison 8 pièces228m²457m²
49,"8 RUE DU BOIS DE BOULOGNE
92200 NEUILLY-SUR-SEINE","4 550 000€
26 000€/m²","Vendu le 06/09/2018
Analyser ce bien",Maison 5 pièces175m²570m²
50,"12 RUE DES ROSIERS
93100 MONTREUIL","163 043€*
3 261€/m²","Vendu le 10/08/2018
Analyser ce bien",Maison 3 pièces50m²130m²*
51,"86 RUE GUY MOQUET
92240 MALAKOFF","962 800€
8 833€/m²","Vendu le 26/07/2018
Analyser ce bien",Maison 4 pièces109m²273m²
52,"14B RUE DE LA PAIX
93500 PANTIN","800 000€
5 926€/m²","Vendu le 10/07/2018
Analyser ce bien",Maison 7 pièces135m²80m²
53,"43 RUE VAILLANT COUTURIER
94140 ALFORTVILLE","432 000€
9 000€/m²","Vendu le 03/05/2018
Analyser ce bien",Maison 2 pièces48m²0m²
54,"177 RUE DU BOIS
93500 PANTIN","495 000€
3 640€/m²","Vendu le 05/04/2018
Analyser ce bien",Maison 6 pièces136m²671m²
55,"4 ALL ARSENE GEORGES
92140 CLAMART","75 472€*
1 572€/m²","Vendu le 28/03/2018
Analyser ce bien",Maison 3 pièces48m²0m²
56,"39 RUE BENOIT MALON
92130 ISSY-LES-MOULINEAUX","757 000€
10 370€/m²","Vendu le 23/03/2018
Analyser ce bien",Maison 4 pièces73m²267m²
57,"2 VLA FALLET
92400 COURBEVOIE","1 313 600€
8 475€/m²","Vendu le 15/03/2018
Analyser ce bien",Maison 7 pièces155m²0m²
58,"2 CITE SAINT GERMAIN
93260 LES LILAS","390 000€
8 125€/m²","Vendu le 01/03/2018
Analyser ce bien",Maison 2 pièces48m²0m²
