,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
19,TRÈS BON ÉTAT,281,"RUMINGHEM, FRANCE",KILKY ,TAILLE UNIQUE,2022-03-19 14:25:07.149659,Pull blanc,8.0,"pull blanc Kilky en parfaite état 
#kilky #pullfemme #white"
20,TRÈS BON ÉTAT,26,"FARGUES-SAINT-HILAIRE, FRANCE",VINTAGE ,S / 36 / 8,2022-03-26 14:25:07.149662,Pull court vintage,8.0,"Porté quelques fois, style très vintage avec un pantalon boyfriend, manches bouffantes , chaud et doux, en laine."
21,TRÈS BON ÉTAT,115,"LILLE, FRANCE",COMPTOIR DES COTONNIERS ,XS / 34 / 6,2022-04-04 14:25:07.149664,Pull angora Comptoir des cotonniers,35.0,"Pull bordeaux Comptoir des cotonniers.
Modèle Joupy.
50% angora.
Taille XS.

#comptoirdescotonniers"
22,BON ÉTAT,92,FRANCE,KIABI ,4 ANS / 98-104 CM,2022-04-04 14:25:07.149667,Pull garçon,2.0,bon état
23,TRÈS BON ÉTAT,55,"ROMAGNAT, FRANCE",RALPH LAUREN ,S,2022-03-30 14:25:07.149673,Pull Ralph Lauren,75.0,"Pull Ralph Lauren
Condition : très bon état
Taille : S 📏
Marque : Ralph Lauren
Couleur : Noir"
24,TRÈS BON ÉTAT,148,FRANCE,,TAILLE UNIQUE,2022-03-25 14:25:07.149675,Très jolie pull très fin bleu made Italy avec liseré argenté,17.9,Très jolie pull fin bleu avec liseré argenté au col et poignée et bas tout le bas du pull très mode avec écriture en doré juste lavé mais il est trop grand pour maheureusement les mesures sont sur les photos ne fais pas de retour ni de reprise uniquement en mondial relay pas de vente par la poste ni pas usp merci il taille grand pour moi ça dépend de vous morfologie bien regardé les mesures sur les photos la couleur qui ressemble la plus c est la dernière photo
25,TRÈS BON ÉTAT,88,"URRUGNE, FRANCE",LACOSTE ,S,2022-04-02 14:25:07.149678,Pull Lacoste,35.0,très bonne états
26,TRÈS BON ÉTAT,429,FRANCE,FAIT MAIN ,24-36 MOIS / 92-98 CM,2022-04-04 14:25:07.149680,Pull fait main,9.0,très bon etat taille 2 ans
27,TRÈS BON ÉTAT,21,"MONTBRISON, FRANCE",RALPH LAUREN ,S / 36 / 8,2022-03-29 14:25:07.149683,Pull Ralph Lauren,30.0,"- Marque : Ralph Lauren
-Type de vêtements : Pull
- Taille : S
- Etat : Très bon état
-Couleurs : Gris
Pour toute autre informations ou photos supplémentaires n'hésitez pas a me contacter

Réductions pour les abonnés !"
28,TRÈS BON ÉTAT,49,"MARLY, FRANCE",ZADIG & VOLTAIRE ,S / 36 / 8,2022-03-27 14:25:07.149686,Pull Zadig,85.0,Pul à manches courtes arrivant au coude.Zadig et Voltaire. Taille S. manches raglans.Longueur dos 61cm. Largeur sous les aisselles 50cm. Très bon état. convient très en pour un 38. Zadig taille grand. Sera sotie du pressing
29,TRÈS BON ÉTAT,50,"MARLY, FRANCE",ZADIG & VOLTAIRE ,S / 36 / 8,2022-03-27 14:25:07.149688,Pull Zadig,85.0,Pul à manches courtes arrivant au coude.Zadig et Voltaire. Taille S. manches raglans.Longueur dos 61cm. Largeur sous les aisselles 50cm. Très bon état. convient très en pour un 38. Zadig taille grand. Sera sotie du pressing
30,TRÈS BON ÉTAT,17,"NANTEUIL-LÈS-MEAUX, FRANCE",PRIMARK ,9-12 MOIS / 74-80 CM,2022-03-13 14:25:07.149691,Pull le livre de la jungle,3.0,Très bon état. Taille 9-12 mois.
31,NEUF SANS ÉTIQUETTE,34,"PARIS, FRANCE",AMI ,L / 40 / 12,2022-04-04 09:25:07.149694,Pull à col rouler Ami,165.0,pull à col rouler Ami original acheter le mois dernier
32,NEUF AVEC ÉTIQUETTE,25,"LOISON-SOUS-LENS, FRANCE",ITALY MODA ,TAILLE UNIQUE,2022-03-27 14:25:07.149697,Pull tendance,17.0,Très beau pull rouge avec du noir un peux de brillant peut convenir du 40 à un 44
33,NEUF AVEC ÉTIQUETTE,2,"NANTES, FRANCE",SANTA CRUZ ,M,2022-04-04 13:46:07.149701,Pull Santa Cruz speed Wheels,60.0,"Salut 
Je met en vente ce pull Santa Cruz 
totalement neuf avec étiquette 
si vous avez des questions, n’hésitez pas !"
34,TRÈS BON ÉTAT,202,FRANCE,NIKE ,S,2022-04-04 14:25:07.149704,Pull Nike PSG,15.0,"parfait état authentique ✅
 couleur gris foncé
taille s 
pull sans capuche"
35,TRÈS BON ÉTAT,154,"NIORT, FRANCE",HANDMADE ,L / 40 / 12,2022-03-17 14:25:07.149706,Pull vintage broderie 3d handmade,35.0,Pull marque Canada taille L .moutarde.col v .fleurs Japonaises colorees brodees à la main.et papillons en feutrine cousus..effet 3d .création follk romantique
36,TRÈS BON ÉTAT,200,"SAINT-AUBIN-SUR-QUILLEBEUF, FRANCE",SÉZANE ,M / 38 / 10,2022-03-21 14:25:07.149709,Pull sezane,45.0,"pull marque sezane , modèle Alice , col en V , poignée légèrement plus serrée avec bouton décoratif, très doux , porté une fois car trop petit"
37,TRÈS BON ÉTAT,20,"FUENTES DE ANDALUCÍA, ESPAÑA",ZARA ,S / 36 / 8,2022-04-04 14:25:07.149712,Rebeca leopardo Zara,4.5,un solo uso
38,TRÈS BON ÉTAT,36,"FUENTES DE ANDALUCÍA, ESPAÑA",ZARA ,S / 36 / 8,2022-04-04 14:25:07.149714,Jerséis Zara negro basico,2.0,En perfecto estado
39,NEUF SANS ÉTIQUETTE,6,"FUENTES DE ANDALUCÍA, ESPAÑA",ZARA ,XS / 34 / 6,2022-03-27 14:25:07.149716,Jerséis Zara,4.0,nuevo sin etiquetas
40,NEUF SANS ÉTIQUETTE,1,"FUENTES DE ANDALUCÍA, ESPAÑA",,S / 36 / 8,2022-04-04 14:25:07.149719,Jerséis Beige,5.5,nuevo sin etiquetas
41,NEUF SANS ÉTIQUETTE,308,"FUENTES DE ANDALUCÍA, ESPAÑA",ZARA ,XS / 34 / 6,2022-04-04 14:25:07.149721,Abrigo Zara,18.5,Nuevo sin etiquetas
42,TRÈS BON ÉTAT,21,FRANCE,VINTAGE ,S / 36 / 8,2022-04-02 14:25:07.149723,Pépite gros pull jacquard vintage années 80 34/36,28.0,Superbe gros pull bien chaud années 80 made in France excellent état pas d étiquette de compo ni de taille ok 34 36 laine mélangée longueur 60 cm col cheminée
43,TRÈS BON ÉTAT,451,"NIORT, FRANCE",HANDMADE ,M / 38 / 10,2022-04-04 14:25:07.149726,Pull avec broderie vintage 3d,35.0,Pull à torsades rouge .taille M à L .matiere mélange coton et acrylique.petits bouquets de fleurs brodés â la main.création style chic romantique
44,NEUF SANS ÉTIQUETTE,52,"GINESTAS, FRANCE",BOUTIQUE INDÉPENDANTE ,L / 40 / 12,2022-04-04 14:25:07.149728,Pull oversize,38.0,"Pull manches évasée, se porte large. 
Couleurs parfaites pour le retour des beaux jours. 
il est neuf, jamais porté. 
Taille 40/42"
45,NEUF SANS ÉTIQUETTE,19,"BAGNOLET, FRANCE",,M / 38 / 10,2022-04-04 14:25:07.149731,Pull d'hiver,20.0,Neuf sans étiquette.
46,NEUF AVEC ÉTIQUETTE,8,FRANCE,GRACIELA ,TAILLE UNIQUE,2022-04-04 14:25:07.149733,Pull rayé vert d'eau et blanc,38.0,"Pull rayé vert d'eau et blanc de la marque GRACIELA
Taille unique 
Neuf avec l'étiquette 
Col V liseré doré, très joli dos avec des boutons et un liseré doré"
47,TRÈS BON ÉTAT,35,FRANCE,YAS ,M / 38 / 10,2022-04-04 14:25:07.149735,Pull très doux taupe avec boutons,25.0,"Pull taupe avec de jolis boutons argentés de la marque YAS
Pull très doux
Taille M
Très bon état"
48,TRÈS BON ÉTAT,72,"BRIVE-LA-GAILLARDE, FRANCE",KIABI ,18-24 MOIS / 86-92 CM,2022-04-04 14:25:07.149737,Pull garçon,2.5,Pull garçon taille 14 mois bon etat
49,NEUF SANS ÉTIQUETTE,25,"CONTES, FRANCE",PIMKIE ,M / 38 / 10,2022-04-04 14:25:07.149739,Pull léger,5.0,Pull léger et évasé. Article neuf. Jamais porté.
50,BON ÉTAT,61,"KOEKELBERG, BELGIQUE / BELGIË",& OTHER STORIES ,XS / 34 / 6,2022-04-01 14:25:07.149742,Pull rose &other stories,15.0,"porté
quelques peluches"
51,TRÈS BON ÉTAT,219,FRANCE,LACOSTE ,L,2022-03-28 14:25:07.149759,Pull Lacoste,40.0,"Pull Lacoste

Taille M

Très bon état 

#lacoste"
52,BON ÉTAT,155,FRANCE,TOMMY HILFIGER ,L,2022-04-04 14:25:07.149761,Pull Tommy Hilfiger,10.0,Pull Tommy Hilfiger porté quelques fois
53,NEUF AVEC ÉTIQUETTE,121,"PARIS, FRANCE",CALVIN KLEIN ,M,2022-03-23 14:25:07.149764,Pull Calvin Klein,35.0,"jamais porté 
taille regular"
54,TRÈS BON ÉTAT,76,FRANCE,STRADIVARIUS ,M / 38 / 10,2022-04-04 14:25:07.149766,Pull en laine col roulé,14.0,"pull en laine épais
col roulé
taille M mais taille large 
jamais porté
stradivarius
couleur : beige/marron clair 
prix de base 29,99€ 

envoi uniquement par mondial relay"
55,TRÈS BON ÉTAT,17,FRANCE,PUMA ,XL,2022-04-04 14:25:07.149784,Pull oversize Puma,25.0,"Pull porté quelques fois, en très bon état"
56,NEUF SANS ÉTIQUETTE,220,FRANCE,123 ,XL / 42 / 14,2022-04-04 14:25:07.149787,Pull d’hiver en laine,17.0,chaude et lège
57,NEUF SANS ÉTIQUETTE,62,"SÉREILHAC, FRANCE",MORGAN ,S / 36 / 8,2022-04-02 14:25:07.149789,Magnifique pull morgan neuf,10.0,"Magnifique pull morgan neuf avec dos nu
Très doux"
58,TRÈS BON ÉTAT,15,"MILANO, ITALIA",LACOSTE ,S / 36 / 8,2022-03-27 14:25:07.149792,Pull in cotone Lacoste,40.0,"pull in cotone Lacoste blu con collo giallo
taglia 36 francese, 40 italiana 
indossato poche volte"
