,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
86,NEUF AVEC ÉTIQUETTE,33,FRANCE,NIKE ,37.5,2022-04-04 15:23:58.480681,Baskets Nike Air Max sequent neuf T 37.5,44.5,"Baskets Nike neuf 
Air max sequent 3
Taille 37.5 
Couleur lilas/ vieux rose 
Neuf jamais porté"
87,TRÈS BON ÉTAT,606,"MARSEILLE 04, FRANCE",NIKE ,38,2022-03-16 15:23:58.480683,baskets Nike Air pastel 38,70.0,"Baskets authentiques Nike Air 
Coloris pastel ( jaune pâle, lilas, rose et vert d'eau) 
Portées quelquefois mais en très bon état général (voir quelques marques d'usure sur les photos mais il faut vraiment regarder de près pour les voir)"
88,TRÈS BON ÉTAT,45,FRANCE,ASICS ,44.5,2022-03-26 15:23:58.480686,Baskets asics E703Y,25.0,Très bon état
89,TRÈS BON ÉTAT,63,"BRUSSEL, BELGIQUE / BELGIË",CATWALK ,39,2022-04-04 15:23:58.480689,Baskets Catwalk beige rosé,35.0,Peu portées
90,NEUF SANS ÉTIQUETTE,66,FRANCE,COLORS OF CALIFORNIA ,37,2022-04-04 15:23:58.480691,Basket à enfiler femme dorée,25.0,"Jamais portées

Belle occasion"
91,NEUF AVEC ÉTIQUETTE,49,FRANCE,,37,2022-04-04 15:23:58.480693,Basket,30.0,Neuves ne vont pas jamais portées.
92,NEUF AVEC ÉTIQUETTE,72,FRANCE,TERRANOVA ,38,2022-04-04 15:23:58.480696,Basket,7.0,neuves taille petit
93,NEUF AVEC ÉTIQUETTE,702,FRANCE,CAMPER ,38,2022-04-04 15:23:58.480698,Ballerines camper,30.0,"ballerines camper neuves 
rouge orangée
confortable cuir souple
#camper#babies #confortable"
94,SATISFAISANT,1279,FRANCE,ESPRIT ,38,2022-04-04 15:23:58.480701,sandale en cuir marron,1.0,"talons très abimés, le reste est satisfaisant"
95,TRÈS BON ÉTAT,39,"PIETROSELLA, FRANCE",LE TEMPS DES CERISES ,39,2022-03-27 15:23:58.480703,Le temps des cerises baskets,35.0,Baskets portés 2 fois
96,TRÈS BON ÉTAT,172,"PARIS, FRANCE",CONVERSE ,39,2022-03-29 15:23:58.480706,Baskets,70.0,porte très peu
97,TRÈS BON ÉTAT,641,"AJACCIO, FRANCE",NEW BALANCE ,38,2022-04-04 15:23:58.480709,Baskets New Balance 420,42.0,je vends une paire de baskets New Balance 420 pointure 38. article en excellent état aucun défaut porté 1 fois
98,NEUF AVEC ÉTIQUETTE,53,"ISTRES, FRANCE",ADIDAS ORIGINALS ,44,2022-04-04 15:23:58.480711,Baskets Nizza trefoil,51.99,"Neuve avec étiquette, super stylées et confortables. Expédition rapide"
99,TRÈS BON ÉTAT,38,"LE CANNET, FRANCE",PUMA ,36,2022-04-04 15:23:58.480713,Baskets Puma noires T36,33.0,"baskets PUMA noires, T36. très peu portées."
100,NEUF AVEC ÉTIQUETTE,103,"PARIS, FRANCE",STUDIO CELESTE ,38,2022-04-04 15:23:58.480716,Baskets vegan Studio celeste NEUVES,38.0,"Baskets blanches tressées neuves, 
Marque vegan studio celeste 
Lacets blanc et doré
Jamais portées, T38"
