,brand,prix,Segment de marché,min,max
102,ralph lauren,27.00,premium / luxe abordable,83.0,269.0
103,ralph lauren,5.00,premium / luxe abordable,83.0,269.0
104,ralph lauren,13.00,premium / luxe abordable,83.0,269.0
105,ralph lauren,15.00,premium / luxe abordable,83.0,269.0
106,ralph lauren,10.00,premium / luxe abordable,83.0,269.0
107,ralph lauren,15.00,premium / luxe abordable,83.0,269.0
108,ralph lauren,35.00,premium / luxe abordable,83.0,269.0
109,ralph lauren,28.00,premium / luxe abordable,83.0,269.0
110,ralph lauren,7.00,premium / luxe abordable,83.0,269.0
111,ralph lauren,5.00,premium / luxe abordable,83.0,269.0
112,ralph lauren,13.00,premium / luxe abordable,83.0,269.0
113,ralph lauren,20.00,premium / luxe abordable,83.0,269.0
114,ralph lauren,30.00,premium / luxe abordable,83.0,269.0
115,ralph lauren,12.00,premium / luxe abordable,83.0,269.0
116,ralph lauren,30.00,premium / luxe abordable,83.0,269.0
117,ralph lauren,25.00,premium / luxe abordable,83.0,269.0
118,ralph lauren,28.00,premium / luxe abordable,83.0,269.0
119,ralph lauren,19.00,premium / luxe abordable,83.0,269.0
120,ralph lauren,8.00,premium / luxe abordable,83.0,269.0
121,ralph lauren,10.00,premium / luxe abordable,83.0,269.0
122,ralph lauren,20.00,premium / luxe abordable,83.0,269.0
123,ralph lauren,20.00,premium / luxe abordable,83.0,269.0
124,ralph lauren,25.00,premium / luxe abordable,83.0,269.0
125,ralph lauren,5.00,premium / luxe abordable,83.0,269.0
126,ralph lauren,10.00,premium / luxe abordable,83.0,269.0
127,ralph lauren,20.00,premium / luxe abordable,83.0,269.0
128,ralph lauren,25.00,premium / luxe abordable,83.0,269.0
129,ralph lauren,11.00,premium / luxe abordable,83.0,269.0
130,ralph lauren,12.00,premium / luxe abordable,83.0,269.0
131,ralph lauren,15.00,premium / luxe abordable,83.0,269.0
132,ralph lauren,8.00,premium / luxe abordable,83.0,269.0
133,ralph lauren,25.00,premium / luxe abordable,83.0,269.0
134,ralph lauren,20.00,premium / luxe abordable,83.0,269.0
135,ralph lauren,10.00,premium / luxe abordable,83.0,269.0
136,ralph lauren,22.00,premium / luxe abordable,83.0,269.0
137,ralph lauren,4.90,premium / luxe abordable,83.0,269.0
138,ralph lauren,40.00,premium / luxe abordable,83.0,269.0
139,ralph lauren,20.00,premium / luxe abordable,83.0,269.0
140,ralph lauren,15.00,premium / luxe abordable,83.0,269.0
141,ralph lauren,18.00,premium / luxe abordable,83.0,269.0
142,ralph lauren,10.00,premium / luxe abordable,83.0,269.0
143,ralph lauren,29.00,premium / luxe abordable,83.0,269.0
144,ralph lauren,18.00,premium / luxe abordable,83.0,269.0
145,ralph lauren,20.00,premium / luxe abordable,83.0,269.0
146,ralph lauren,8.00,premium / luxe abordable,83.0,269.0
147,ralph lauren,25.00,premium / luxe abordable,83.0,269.0
148,ralph lauren,24.00,premium / luxe abordable,83.0,269.0
149,ralph lauren,8.00,premium / luxe abordable,83.0,269.0
150,ralph lauren,20.00,premium / luxe abordable,83.0,269.0
151,ralph lauren,8.00,premium / luxe abordable,83.0,269.0
152,ralph lauren,15.00,premium / luxe abordable,83.0,269.0
153,ralph lauren,20.00,premium / luxe abordable,83.0,269.0
154,ralph lauren,15.00,premium / luxe abordable,83.0,269.0
155,ralph lauren,20.00,premium / luxe abordable,83.0,269.0
156,ralph lauren,25.00,premium / luxe abordable,83.0,269.0
157,ralph lauren,19.00,premium / luxe abordable,83.0,269.0
158,ralph lauren,17.00,premium / luxe abordable,83.0,269.0
159,ralph lauren,13.50,premium / luxe abordable,83.0,269.0
160,ralph lauren,16.00,premium / luxe abordable,83.0,269.0
161,ralph lauren,15.00,premium / luxe abordable,83.0,269.0
162,ralph lauren,15.00,premium / luxe abordable,83.0,269.0
163,ralph lauren,35.00,premium / luxe abordable,83.0,269.0
164,ralph lauren,20.00,premium / luxe abordable,83.0,269.0
165,ralph lauren,4.00,premium / luxe abordable,83.0,269.0
166,ralph lauren,11.00,premium / luxe abordable,83.0,269.0
167,ralph lauren,8.00,premium / luxe abordable,83.0,269.0
168,ralph lauren,15.00,premium / luxe abordable,83.0,269.0
169,ralph lauren,25.00,premium / luxe abordable,83.0,269.0
170,ralph lauren,20.00,premium / luxe abordable,83.0,269.0
171,ralph lauren,10.00,premium / luxe abordable,83.0,269.0
172,ralph lauren,12.50,premium / luxe abordable,83.0,269.0
173,ralph lauren,30.00,premium / luxe abordable,83.0,269.0
174,ralph lauren,15.00,premium / luxe abordable,83.0,269.0
175,ralph lauren,20.00,premium / luxe abordable,83.0,269.0
176,ralph lauren,20.00,premium / luxe abordable,83.0,269.0
177,ralph lauren,20.00,premium / luxe abordable,83.0,269.0
178,ralph lauren,30.00,premium / luxe abordable,83.0,269.0
179,ralph lauren,6.00,premium / luxe abordable,83.0,269.0
180,ralph lauren,9.00,premium / luxe abordable,83.0,269.0
181,ralph lauren,12.00,premium / luxe abordable,83.0,269.0
182,ralph lauren,5.00,premium / luxe abordable,83.0,269.0
183,ralph lauren,15.00,premium / luxe abordable,83.0,269.0
184,ralph lauren,20.00,premium / luxe abordable,83.0,269.0
185,ralph lauren,7.00,premium / luxe abordable,83.0,269.0
186,ralph lauren,15.00,premium / luxe abordable,83.0,269.0
187,ralph lauren,15.00,premium / luxe abordable,83.0,269.0
188,ralph lauren,10.00,premium / luxe abordable,83.0,269.0
189,ralph lauren,5.00,premium / luxe abordable,83.0,269.0
190,ralph lauren,30.00,premium / luxe abordable,83.0,269.0
191,ralph lauren,18.00,premium / luxe abordable,83.0,269.0
192,ralph lauren,10.00,premium / luxe abordable,83.0,269.0
193,ralph lauren,8.00,premium / luxe abordable,83.0,269.0
194,ralph lauren,25.00,premium / luxe abordable,83.0,269.0
195,ralph lauren,10.00,premium / luxe abordable,83.0,269.0
196,ralph lauren,19.00,premium / luxe abordable,83.0,269.0
197,ralph lauren,15.00,premium / luxe abordable,83.0,269.0
198,ralph lauren,15.00,premium / luxe abordable,83.0,269.0
199,ralph lauren,8.00,premium / luxe abordable,83.0,269.0
200,ralph lauren,20.00,premium / luxe abordable,83.0,269.0
201,ralph lauren,8.00,premium / luxe abordable,83.0,269.0
202,ralph lauren,20.00,premium / luxe abordable,83.0,269.0
203,ralph lauren,36.00,premium / luxe abordable,83.0,269.0
204,ralph lauren,37.00,premium / luxe abordable,83.0,269.0
205,ralph lauren,20.00,premium / luxe abordable,83.0,269.0
206,ralph lauren,30.00,premium / luxe abordable,83.0,269.0
207,ralph lauren,10.00,premium / luxe abordable,83.0,269.0
208,ralph lauren,75.00,premium / luxe abordable,83.0,269.0
209,ralph lauren,9.00,premium / luxe abordable,83.0,269.0
210,ralph lauren,25.00,premium / luxe abordable,83.0,269.0
211,ralph lauren,15.00,premium / luxe abordable,83.0,269.0
212,ralph lauren,8.00,premium / luxe abordable,83.0,269.0
213,ralph lauren,5.00,premium / luxe abordable,83.0,269.0
214,ralph lauren,18.00,premium / luxe abordable,83.0,269.0
215,ralph lauren,10.00,premium / luxe abordable,83.0,269.0
216,ralph lauren,20.00,premium / luxe abordable,83.0,269.0
217,ralph lauren,15.00,premium / luxe abordable,83.0,269.0
218,ralph lauren,30.00,premium / luxe abordable,83.0,269.0
219,ralph lauren,15.00,premium / luxe abordable,83.0,269.0
220,ralph lauren,40.00,premium / luxe abordable,83.0,269.0
221,ralph lauren,35.00,premium / luxe abordable,83.0,269.0
222,ralph lauren,25.00,premium / luxe abordable,83.0,269.0
223,ralph lauren,11.00,premium / luxe abordable,83.0,269.0
224,ralph lauren,18.00,premium / luxe abordable,83.0,269.0
