,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
24,NEUF AVEC ÉTIQUETTE,53,"PARIS, FRANCE",CALVIN KLEIN ,XL,2022-04-04 18:58:12.711595,T-shirt Blanc Regular Fit | Calvin Klein Jeans (neuf)👶,25.0,"★☆✦✧✩ 𝒜𝓂𝑒𝓁𝑀𝑜𝒹𝑒𝒳𝑜𝒳𝑜 ✩✧✦☆★
PROMO DU JOUR🪁

CALVIN KLEIN JEANS
T-shirt Blanc Regular Fit

• Taille XL

Pour tout complètement d'information, n'hésitez pas à me contacter en mp. ☺️


#CalvinKlein #CalvinKleinJeans #Tshirt #Blanc #white #uni #RegularFit #TailleXl #Unisexe #femme"
25,BON ÉTAT,38,FRANCE,ESSENTIALS ,M,2022-04-04 15:58:12.711598,T shirt Fog,55.0,"T shirt Essentiels
Très peu porté ( moins de 10 lavage)
Pas de trace d'usure
Taille M
Expédié très rapidement"
26,NEUF AVEC ÉTIQUETTE,17,"CHELLES, FRANCE",SUPREME ,M,2022-04-04 18:58:12.711601,T-shirt + chausettes supreme,35.0,"Supreme Store Paris

1 t-shirt supreme blanc avec petit logo supreme en rouge en bas à droite 

1 paire de chaussettes supreme blanche marqué supreme en rouge

Taille unique, taille 39 au 47

Neuf,sorti de l'emballage uniquement pour la photo.

100% authentique, acheté au supreme store a paris 

Dm pour + d’info"
27,NEUF SANS ÉTIQUETTE,171,FRANCE,HUGO BOSS ,M,2022-04-01 18:58:12.711604,Tee shirt Hugo Boss M,35.0,"Tee shirt Hugo Boss homme
Taille M couleur noir
Col rond 100% coton
État Neuf jamais été porté"
28,TRÈS BON ÉTAT,27,"VENDEGIES-SUR-ÉCAILLON, FRANCE",TAPE À L'OEIL ,14 ANS / 158-164 CM,2022-04-04 18:58:12.711607,T-shirt manches longues rouge 14 ans uni TAO,3.0,"t-shirt uni rouge 14 ans 
tape à l’œil 

lots possibles dans mon dressing 
autres vêtements 8 10 12 14 16 ans garçon à vendre dans mon dressing 
(achat neuf au départ, usage pour un seul enfant )"
29,TRÈS BON ÉTAT,56,"PARIS, FRANCE",A.P.C. ,XS,2022-03-26 18:58:12.711610,Tshirt APC,30.0,"Tshirt APC
Hiver87 
Logo floqué VPC effet velours
Coupe droite
Très bon état
Taille Homme XS"
30,NEUF SANS ÉTIQUETTE,218,"ROCHE-EN-RÉGNIER, FRANCE",RALPH LAUREN ,S,2022-04-01 18:58:12.711613,T-shirt Ralph Lauren,22.0,"Très peu porté, très bon état"
31,NEUF AVEC ÉTIQUETTE,29,"QUESNOY-SUR-DEÛLE, FRANCE",TEDDY SMITH ,XXL,2022-03-29 18:58:12.711616,T-shirt,10.0,T-shirt bleu Teddy Smith taille Xxl
32,NEUF AVEC ÉTIQUETTE,310,"PARIS, FRANCE",KENZO ,M,2022-04-01 18:58:12.711619,T-shirt kenzo,59.99,"t-shirt kenzo neuf avec étiquette 
taille : M

acheter 90€encore l’étiquette et le scan barre de la boutique 

#tshirt #tshirtkenzo #kenzo #luxe #luxury"
33,NEUF SANS ÉTIQUETTE,66,FRANCE,RENAULT ,M,2022-03-12 18:58:12.711623,Tee shirt F1 Renault,35.0,"Tee shirt officiel de l’écurie F1 Renault 
taille M
état neuf."
34,NEUF AVEC ÉTIQUETTE,519,"SAINT-HÉAND, FRANCE",LACOSTE SPORT ,M,2022-03-28 18:58:12.711626,T-shirt Lacoste🐊 Sport Neuf,45.0,"Neuf et encore sous blister ,taille M.
Envoi rapide et soigné."
35,TRÈS BON ÉTAT,4,FRANCE,CAMAÏEU ,XXL / 44 / 16,2022-04-04 14:58:12.711629,"Joli T-shirt avec beau tableau satiné exotique devant,dos uni noir viscose élasthane",7.5,"Joli T-shirt avec son motif exotique, tissu satiné chamoiré devant ,dos uni noir viscose élasthane. Étiquette coupée, désolée … Étiquetés taille3 ➡️ 42 44. Demander les mesures selon effet fluide ou plus près du corps."
36,BON ÉTAT,9,"BLANZAC, FRANCE",RALPH LAUREN ,M,2022-04-04 18:28:12.711632,👕 T-Shirt Ralph Lauren,20.0,"👕 T-Shirt Ralph Lauren 
🎨 Rouge
📌 Taille M
✅ Bon état 
💶 Prix négociable 
📱 Envoyez moi un message pour plus d’informations je répond au plus vite 
📦 Envoi rapide et soigné"
37,BON ÉTAT,54,"LONGWY, FRANCE",DESIGUAL ,M / 38 / 10,2022-04-04 18:58:12.711635,Tee-shirt blanc Desigual,12.0,motifs fleurs
38,TRÈS BON ÉTAT,26,"LONGWY, FRANCE",LOLALIZA ,L / 40 / 12,2022-04-04 18:58:12.711638,Top pailleté rayé beige gris et doré,18.0,"idéal pour les fêtes
convient pour un XL aussi"
39,TRÈS BON ÉTAT,22,"LONGWY, FRANCE",H&M ,XXL / 44 / 16,2022-04-04 18:58:12.711641,Teeshirt imprimé feuillage beige,12.0,col en V
40,TRÈS BON ÉTAT,17,"LONGWY, FRANCE",LE TEMPS DES CERISES ,L / 40 / 12,2022-04-04 18:58:12.711644,Teeshirt noir miss cerises 🍒,14.0,teeshirt avec motifs strass argent et rouges
41,TRÈS BON ÉTAT,106,"LONGWY, FRANCE",H&M ,XXL / 44 / 16,2022-04-04 18:58:12.711647,Tee shirt noir avec fente dos et bande satin H&M,8.0,matière fluide très agréable
42,NEUF SANS ÉTIQUETTE,4,"ORLÉANS, FRANCE",STRADIVARIUS ,M / 38 / 10,2022-04-04 18:25:12.711650,Stradivarius t shirt uni loose taille M noir et rouge tomate,3.0,"Rouge Porté 1 fois noir jamais porté. Les 2 sont lavés et rangés...

Chacun vaut au moins 2 euros je fais le lot pour 3euros ✨

Remise disponible pour les lots 😘 j'ai des articles Zara mango H&m bash..."
43,TRÈS BON ÉTAT,7,FRANCE,,L / 40 / 12,2022-04-03 21:58:12.711654,T shirt uni noir,2.0,Porté 1 ou 2 fois
44,TRÈS BON ÉTAT,2,"MARSEILLE, FRANCE",H&M ,L / 40 / 12,2022-04-04 12:58:12.711657,T-shirt rose uni,8.0,pour toutes questions n'hésitez pas
45,NEUF AVEC ÉTIQUETTE,96,"NANCY, FRANCE",TIMBERLAND ,M,2022-03-27 18:58:12.711661,T-shirt jaune/orange Timberland,31.0,"T-shirt jaune/orange neuf avec étiquette. 
100% coton biologique
Taille correctement."
46,NEUF SANS ÉTIQUETTE,99,"SAINT-JEAN-D'ANGÉLY, FRANCE",FOOTKORNER ,XS,2022-04-03 21:58:12.711664,Ensemble foot korner jaune et noir,40.0,"•Porter une fois
•En très bonne état
•Taille x-s
•Édition émeraude
•Plus disponible sur le site
•Envoi rapide"
