,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
27,NEUF SANS ÉTIQUETTE,300,"NEDERLAND, NEDERLAND",SHEIN ,XXL / 44 / 16,2022-04-17 17:25:36.295389,Shirtje,5.0,"Nieuw shirtje van Shein, nooit gedragen. Mij te klein."
28,TRÈS BON ÉTAT,11,"LA GARDE-FREINET, FRANCE",SHEIN ,S,2022-05-12 10:25:36.295392,t shirt avec dessin Shein,3.0,porte quelque fois
29,NEUF SANS ÉTIQUETTE,136,"COLLECCHIO, ITALIA",SHEIN ,XXL / 44 / 16,2022-05-12 17:25:36.295395,T-shirt Shein,5.0,"Nuova, mai indossata
Tg. 2 XL"
30,NEUF SANS ÉTIQUETTE,9,FRANCE,SHEIN ,M,2022-05-12 10:25:36.295397,T-shirt shein homme,4.0,"Taille M 
Neuf"
31,NEUF SANS ÉTIQUETTE,159,"RIBEIRÃO, PORTUGAL",SHEIN ,XL,2022-05-03 17:25:36.295400,t shirt shein,5.0,"unissexo 
nova 
tamanho L/XL"
32,TRÈS BON ÉTAT,137,"BENFELD, FRANCE",SHEIN ,S / 36 / 8,2022-05-12 17:25:36.295402,Tee shirt femme,3.5,"Tee shirt femme Shein
Taille S 
Très bon état"
33,NEUF AVEC ÉTIQUETTE,178,FRANCE,SHEIN ,9 ANS / 128-134 CM,2022-05-05 17:25:36.295405,Trois hauts manches longues côtelé shein,10.0,Un peux crop top superbe état
34,BON ÉTAT,5,FRANCE,SHEIN ,M / 38 / 10,2022-05-12 17:25:36.295407,t shirt shein,2.0,"t shirt shein, taille M, légères petites tâches en bas a droite"
35,NEUF SANS ÉTIQUETTE,93,ITALIA,SHEIN ,M / 38 / 10,2022-04-23 17:25:36.295410,Maglia shein. Taglia m. Mai indossata.,5.0,Maglia shein. Taglia m. Mai indossata.
36,BON ÉTAT,136,"TRÉVOL, FRANCE",SHEIN ,S / 36 / 8,2022-05-09 17:25:36.295412,Lot vêtements femme taille S,5.0,Les vêtements sont en bon état. Tout est taille S.
37,TRÈS BON ÉTAT,53,"SALON-DE-PROVENCE, FRANCE",SHEIN ,S / 36 / 8,2022-05-12 17:25:36.295415,tee shirt noir taille S shein,5.0,"dos uni noir , manches courtes"
38,TRÈS BON ÉTAT,58,"SALON-DE-PROVENCE, FRANCE",SHEIN ,L / 40 / 12,2022-05-12 17:25:36.295417,tee shirt shein taille L noir,5.0,"motif dynosaures , dos uni noir. Dimensions prises à plat: entre épaules = 40 cm, entre sous aisselles = 52, 5 cm, donné taille L par le fabricant mais vérifiez vos mesures"
39,TRÈS BON ÉTAT,37,"SALON-DE-PROVENCE, FRANCE",SHEIN ,L / 40 / 12,2022-05-12 17:25:36.295419,tee shirt Shein noir taille L,5.0,"coton , manches courtes, très bon état.dimensions prises à plat : entre épaules = 47 cm , entre sous aisselles = 56 cm, hauteur milieu dos = 64 cm"
40,NEUF SANS ÉTIQUETTE,13,"SALON-DE-PROVENCE, FRANCE",SHEIN ,M / 38 / 10,2022-05-12 17:25:36.295422,tee shirt blanc shein taille M neuf,4.0,"jamais porté , manches courtes"
41,TRÈS BON ÉTAT,964,"SALON-DE-PROVENCE, FRANCE",CHANEL ,,2022-05-12 17:25:36.295424,Lunettes solaires vintage Chanel femme,50.0,"Verres légèrement correcteurs . A changer selon votre vue , voir références sur photos, livrées sans étui rigide , prix non négociable."
42,NEUF SANS ÉTIQUETTE,9,"BOISSET-ET-GAUJAC, FRANCE",SHEIN ,M / 38 / 10,2022-05-12 09:25:36.295426,T shirt rose bonbon shein,5.0,"T shirt rose bonbon shein
Jamais mis"
43,TRÈS BON ÉTAT,4,"GALLIPOLI, ITALIA",SHEIN ,M / 38 / 10,2022-05-12 17:25:36.295429,T-shirt Shein,3.0,Taglia M
44,TRÈS BON ÉTAT,12,"LA GARDE-FREINET, FRANCE",SHEIN ,S,2022-05-12 10:25:36.295431,t shirt avec dessin Shein,3.0,porte quelque fois
45,TRÈS BON ÉTAT,14,FRANCE,SHEIN ,11 ANS / 140-146 CM,2022-05-08 17:25:36.295434,T-shirt Shein,2.0,Shein
46,NEUF SANS ÉTIQUETTE,3,"CHARTRES, FRANCE",SHEIN ,S / 36 / 8,2022-05-12 14:25:36.295437,T-shirt Shein gris S neuf,3.0,T-shirt Shein gris S neuf
47,TRÈS BON ÉTAT,11,"GUÉNANGE, FRANCE",SHEIN ,XL / 42 / 14,2022-05-12 09:25:36.295439,T-shirt shein XL rose,2.0,Article proche du neuf ne comporte aucun défaut
48,NEUF SANS ÉTIQUETTE,5,"PORTOGRUARO, ITALIA",SHEIN ,M / 38 / 10,2022-05-12 14:25:36.295442,T-shirt shein pizzo M,3.0,T-shirt shein bianca con maniche in pizzo. Taglia M. Usata pochissimo
49,NEUF SANS ÉTIQUETTE,2,"BADEN, FRANCE",SHEIN ,L,2022-05-12 16:56:36.295445,T-shirt shein,5.0,T-shirt avec des lèvres multicolore qui vient de chez shein la taille est du L JAMAIS porté
50,BON ÉTAT,40,"DRONTEN, NEDERLAND",SHEIN ,XS / 34 / 6,2022-05-11 21:25:36.295448,Zwart t-shirt van shein,1.0,Niet vaak Gedragen. In goede staat. Maat xs. Merk shein.
51,TRÈS BON ÉTAT,8,"NÉFIACH, FRANCE",SHEIN ,L / 40 / 12,2022-05-12 12:25:36.295450,T-shirt shein,1.0,Taille loose très bon état
52,TRÈS BON ÉTAT,2,"LIVORNO, ITALIA",SHEIN ,M,2022-05-12 13:25:36.295453,T-Shirt Shein,3.5,T-Shirt
53,TRÈS BON ÉTAT,2,"BOUFFIOULX, BELGIQUE / BELGIË",SHEIN ,XS,2022-05-09 17:25:36.295456,T-shirt xs shein,2.0,"T-shirt
Taille XS
Très bon état"
54,TRÈS BON ÉTAT,16,"LE CELLIER, FRANCE",SHEIN ,S / 36 / 8,2022-05-12 17:25:36.295458,T shirt noir SHEIN avec broderie,3.5,"Aucun défauts particulier, taille S"
55,TRÈS BON ÉTAT,7,"MAIA, PORTUGAL",SHEIN ,XXXL,2022-05-08 17:25:36.295461,T-shirt Shein,2.0,Vendo t-shirt Shein
56,NEUF AVEC ÉTIQUETTE,156,"GRUMO APPULA, ITALIA",SHEIN ,L / 40 / 12,2022-05-12 17:25:36.295463,T-shirt shein,6.5,"T-shirt shein a manica corta, taglia 44/46, donna, bianca con grafica
Tessuto leggero e poliestere
Scollatura a girocollo


🇨🇵
T-shirt manches courtes Shein, taille 44/46, femme, blanc avec graphismes
Tissu léger et polyester
Encolure ronde"
57,NEUF SANS ÉTIQUETTE,2,"SANNICANDRO DI BARI, ITALIA",SHEIN ,TAILLE UNIQUE,2022-05-12 17:25:36.295465,T-shirt crop SHEIN,15.0,"T-shirt crop Shein.
Taglia S.
Articolo nuovo, mai indossate."
