,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
29,TRÈS BON ÉTAT,16,"LYON 01, FRANCE",MISSGUIDED ,M / 38 / 10,2022-05-12 18:19:21.177525,T-shirt Missguided,7.0,"T-shirt Missguided en parfait état, mis 2/3fois"
30,NEUF SANS ÉTIQUETTE,31,FRANCE,MISSGUIDED ,M / 38 / 10,2022-05-12 18:19:21.177527,t-shirt MissGuided,5.0,"jamais porté 
parfait état 
marque missguided"
31,TRÈS BON ÉTAT,5,"PARIS, FRANCE",MISSGUIDED ,S / 36 / 8,2022-05-12 18:19:21.177529,T-shirt Missguided,5.0,"Vend t-shirt Missguided 
matière légère"
32,NEUF SANS ÉTIQUETTE,13,"PARIS 14, FRANCE",PLAYBOY X MISSGUIDED ,S / 36 / 8,2022-05-11 22:19:21.177532,Tee shirt oversize playboy,10.0,"Taille grand, jamais porté"
33,NEUF SANS ÉTIQUETTE,6,"LUXEMBOURG, LUXEMBOURG",MISSGUIDED ,S / 36 / 8,2022-05-12 18:19:21.177534,T-shirt noir Marque Missguided,5.0,"T-shirt noir Marque Missguided
Taill 36/S
Neuf jamais porté"
34,TRÈS BON ÉTAT,34,BELGIQUE / BELGIË,MISSGUIDED ,M,2022-05-12 18:19:21.177537,T shirt aigle Missguided,6.0,T-shirt avec logo aigle Missguided. taille M. se porte large. porté 1 fois. état nickel.
35,TRÈS BON ÉTAT,56,FRANCE,PLAYBOY X MISSGUIDED ,XS / 34 / 6,2022-05-10 18:19:21.177539,playboy t-shirt,45.0,"✮ t-shirt playboy x missguided
✮ couleurs : 🤍💙
✮ taille : XS
✮ état : porté quelques fois"
36,TRÈS BON ÉTAT,6,"LABASTIDETTE, FRANCE",MISSGUIDED ,S / 36 / 8,2022-05-12 18:19:21.177542,Tee shirt pink floyd,5.0,"Tres bon etat
Taille s"
37,TRÈS BON ÉTAT,60,FRANCE,MISSGUIDED ,S / 36 / 8,2022-05-12 18:19:21.177544,Tee shirt motif,3.9,"excellent état 
taille 36"
38,NEUF SANS ÉTIQUETTE,14,FRANCE,MISSGUIDED ,S / 36 / 8,2022-05-12 18:19:21.177546,Lot de hauts,6.0,"comme neuf 

top vert kaki benitier : taille 34( convient au 36) boohoo
body velours dos nu: taille 36 missguided 
tee shirt rose : taille 36 newlook"
39,NEUF SANS ÉTIQUETTE,7,FRANCE,MISSGUIDED ,S / 36 / 8,2022-04-29 18:19:21.177549,Tee shirt rouge oversize,4.0,"neuf 
taille 36"
40,TRÈS BON ÉTAT,10,FRANCE,MISSGUIDED ,S / 36 / 8,2022-05-12 18:19:21.177552,Top a manches courtes facon sweat oversize,5.0,"excellent état 
taille 36 ( peut convenir a un 38 étant oversize )"
41,NEUF SANS ÉTIQUETTE,510,FRANCE,SHEIN ,M / 38 / 10,2022-05-12 18:19:21.177554,Crop top rouge pailletté à chaînes,5.0,"neuf 
taille M"
42,TRÈS BON ÉTAT,6,FRANCE,MISSGUIDED ,S / 36 / 8,2022-05-12 18:19:21.177556,T-shirt avec col - kaki | MissGuided - taille 36,5.0,"🛍️ Les réductions sont activées pour les achats de lot, n'hésitez pas 🙂
🎁 Cadeau offert pour 3 articles achetés, ou à partir de 10€ d'achat ! 😉
✨ Je suis également ouverte à la négociation, ainsi qu'aux échanges.

#ezhtaille36"
43,BON ÉTAT,2,"SALAISE-SUR-SANNE, FRANCE",MISSGUIDED ,TAILLE UNIQUE,2022-05-12 18:19:21.177558,T shirt missguided femme,5.0,portée 1 à 2 fois
