,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
0,NEUF SANS ÉTIQUETTE,29,FRANCE,,XL / 42 / 14,2022-04-13 14:28:03.583163,Tee-shirt,16.0,Jamais mis fait par mois même 100%polyester
1,NEUF AVEC ÉTIQUETTE,76,"LINARDS, FRANCE",SUPREME ,XL,2022-04-13 16:28:03.583299,Supreme Hanes tee shirt pack 3 tee shirts,45.0,"Supreme Hanes tee shirt ..
pack de 3 tee shirts 
neuf 
taille XL"
2,TRÈS BON ÉTAT,1,FRANCE,HOLLISTER ,XS / 34 / 6,2022-04-13 19:28:03.583303,TEE shirt Hollister,3.0,déjà porté
