,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
30,NEUF SANS ÉTIQUETTE,41,"ROMA, ITALIA",PAUL SMITH ,M,2022-05-12 19:46:51.950866,Paul Smith over print t-shirt,55.0,maglietta Paul Smith con stampa all over verde petrolio tg L(veste M)
31,TRÈS BON ÉTAT,16,"PAULHAC, FRANCE",PAUL SMITH ,5 ANS / 104-110 CM,2022-05-12 19:46:51.950869,T-Shirt Paul Smith 5ans,7.0,Parfait etat
32,BON ÉTAT,102,"PARIS, FRANCE",PAUL SMITH ,L,2022-05-01 19:46:51.950871,T-shirt Paul Smith taille L,9.0,"Peu porté, très légèrement décoloré par endroits.

Taille marquée XL mais correspond plutôt à L voire M !"
33,TRÈS BON ÉTAT,61,FRANCE,PAUL SMITH ,M,2022-05-09 19:46:51.950874,T-shirt Paul Smith,10.0,Taille M
34,TRÈS BON ÉTAT,26,"ASNIÈRES-SUR-SEINE, FRANCE",PAUL SMITH ,14 ANS / 158-164 CM,2022-05-07 19:46:51.950876,T-shirt Paul Smith junior 14 an,5.0,"T-shirt Paul Smith junior 14 ans
Pas de défaut"
35,BON ÉTAT,50,"CHERASCO, ITALIA",PAUL SMITH ,L,2022-05-10 19:46:51.950879,T-shirt Paul Smith,5.0,T-shirt COTONE
36,TRÈS BON ÉTAT,68,"SACHÉ, FRANCE",PAUL SMITH ,L / 40 / 12,2022-05-07 19:46:51.950882,T-shirt manches 3/4 Paul smith,5.0,T-shirt manches 3/4 Paul smith très peu porté et en très bon état taille L
37,TRÈS BON ÉTAT,43,"GRENOBLE, FRANCE",PAUL SMITH ,S / 36 / 8,2022-04-18 19:46:51.950884,Tee shirt Paul Smith,12.0,tee shirt Paul Smith trompe l’œil marque M mais taille petit
38,BON ÉTAT,29,"GRENOBLE, FRANCE",PAUL SMITH ,S / 36 / 8,2022-05-01 19:46:51.950887,Tee shirt Paul Smith en S,6.0,joli tee shirt Paul Smith en S violet
39,BON ÉTAT,117,"GRENOBLE, FRANCE",PAUL SMITH ,S / 36 / 8,2022-05-12 19:46:51.950889,Tee short Paul Smith,8.0,trés joli tee short Paul Smith effet trompe l’oeuil
40,TRÈS BON ÉTAT,342,"GRENOBLE, FRANCE",CHRISTIAN LACROIX ,S / 36 / 8,2022-05-12 19:46:51.950892,Col roulé Christian Lacroix,25.0,très joli col roulé Christian Lacroix en 36
41,SATISFAISANT,1735,"GRENOBLE, FRANCE",RALPH LAUREN ,S / 36 / 8,2022-05-12 19:46:51.950894,Sweat-shirt vintage Ralph Lauren,4.0,tee short manches longues vintage blanc cassé Ralph Lauren pas mal porté d’où le petit prix
42,BON ÉTAT,32,FRANCE,PAUL SMITH ,M,2022-05-12 19:46:51.950896,Polo de Paul Smith,9.0,"Polo de Paul Smith
Taille M/L
Mixte 
100% coton 
En plus tôt en très bon état"
43,TRÈS BON ÉTAT,36,"GRAMAT, FRANCE",PAUL SMITH ,L,2022-05-12 19:46:51.950899,Polo Paul Smith L,15.0,polo Paul Smith taille L rayé gris bleu et une bande orange. il y’a une poche sur le devant. Il est en TBE
44,TRÈS BON ÉTAT,73,"MILANO, ITALIA",PAUL SMITH ,M / 38 / 10,2022-05-07 19:46:51.950901,Tshirt Paul Smith,12.0,Maglietta Paul Smith con cuciture rosse ai lati e grafica bellissima di un dodo.
45,TRÈS BON ÉTAT,2,"HELLEMMES, FRANCE",PAUL SMITH ,5 ANS / 104-110 CM,2022-05-12 19:18:51.950904,T-shirt,6.0,T-shirt Paul Smith taille 5 ans
