,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
17,TRÈS BON ÉTAT,18,FRANCE,TOMMY HILFIGER ,S / 36 / 8,2022-05-12 20:06:41.280302,t-shirt Tommy Hilfiger,10.0,"t-shirtTommy Hilfiger
Taille S"
18,TRÈS BON ÉTAT,15,"LENS, FRANCE",TOMMY HILFIGER ,M / 38 / 10,2022-05-12 20:06:41.280305,T-shirt tommy,10.0,t-shirttommy jaune taille M
19,NEUF SANS ÉTIQUETTE,24,"CHAZÉ-SUR-ARGOS, FRANCE",TOMMY HILFIGER ,M / 38 / 10,2022-05-12 20:06:41.280308,T-shirt Tommy rose,10.0,"T-shirtTommy rose.
Taille assez petit."
20,BON ÉTAT,16,"TILBURG, NEDERLAND",TOMMY HILFIGER ,L / 40 / 12,2022-05-12 20:06:41.280310,T-shirtTommy Hilfiger,6.0,Maat L
21,TRÈS BON ÉTAT,11,FRANCE,TOMMY HILFIGER ,M,2022-05-12 20:06:41.280312,Tee shirtTommy Hilfiger,15.0,"Très peu porté
Taille M"
22,TRÈS BON ÉTAT,11,"LE BARCARÈS, FRANCE",TOMMY HILFIGER ,L,2022-05-12 20:06:41.280315,Tee shirt Tommy Hilfiger .,5.0,Tee shirtTommy hilfiger . L en très bon état .
23,SATISFAISANT,150,"MEYREUIL, FRANCE",TOMMY HILFIGER ,S,2022-05-12 20:06:41.280317,T-shirt Tommy Hilfiger,7.0,T-shirtTommy Hilfiger
24,BON ÉTAT,28,"MONTREUIL, FRANCE",TOMMY HILFIGER ,M,2022-05-12 20:06:41.280320,T-shirtTommy,6.0,porte régulièrement
25,TRÈS BON ÉTAT,13,FRANCE,TOMMY HILFIGER ,S / 36 / 8,2022-05-05 20:06:41.280325,Sweat-shirt Tommy Hilfiger,20.0,Sweat-shirtTommy tailleS c’est une couleur rouge un peu claire
26,TRÈS BON ÉTAT,30,"SAINT-QUENTIN, FRANCE",TOMMY HILFIGER ,M / 38 / 10,2022-05-12 20:06:41.280328,T-shirt Tommy Hilfiger,15.0,t-shirtTommy Hilfiger très bon état
27,TRÈS BON ÉTAT,22,FRANCE,TOMMY HILFIGER ,XS,2022-05-12 20:06:41.280330,T-shirt Tommy Hilfiger,5.0,Vend t-shirtTommy Hilfiger en bon état. l’impressionHilfiger un peu délaver
28,TRÈS BON ÉTAT,15,"ÉTELFAY, FRANCE",TOMMY HILFIGER ,M,2022-05-12 20:06:41.280333,Tee-shirt Tommy hilfiger,25.0,Tee shirtTommy hilfiger taille M porté une fois
29,TRÈS BON ÉTAT,12,"TRAPANI, ITALIA",TOMMY HILFIGER ,S,2022-05-12 20:06:41.280335,T ShirtTommy Hilfiger,20.0,"t shirt usata pochissime volte, taglia s ma ideale per corporatura robusta, ottima vestibilita
colore blu notte"
30,NEUF SANS ÉTIQUETTE,36,"NANTES, FRANCE",TOMMY HILFIGER ,S,2022-05-12 20:06:41.280337,T-Shirt Tommy Hilfiger,20.0,"👕 T-ShirtTommy Hilfiger

✅ Condition 9,5/10

📐 Taille S

🍀 Abonnés -10% sur vos achats 

📌 Pour plus d’informations n’hésitez pas à me contacter"
31,NEUF SANS ÉTIQUETTE,19,"MARIGNANE, FRANCE",TOMMY HILFIGER ,S,2022-05-12 20:06:41.280340,T-shirtTommy Hilfiger,35.0,T-shirt Tommy Hilfiger Rouge et Blanc. Taille S. Jamais porté.
32,SATISFAISANT,9,FRANCE,TOMMY HILFIGER ,S,2022-05-12 20:06:41.280342,T-shirtTommy Hilfiger taille s,2.0,1 tache devant en bas cf photo
33,BON ÉTAT,56,"ASSEBROEK, BELGIQUE / BELGIË",TOMMY HILFIGER ,S,2022-05-12 20:06:41.280344,Roos T-shirttommy hilfiger,5.0,amper gedragen
34,TRÈS BON ÉTAT,18,"IVREA, ITALIA",HILFIGER DENIM ,M / 38 / 10,2022-05-12 20:06:41.280346,T-shirtTommy Hilfiger cotone a righe,15.0,T-shirt di cotone a righe bianche e blu Tommy Hilfiger Denim
35,NEUF SANS ÉTIQUETTE,13,FRANCE,TOMMY HILFIGER ,XS,2022-05-12 20:06:41.280349,T-shirtTommy Orange,30.0,"T-shirt jamais porté
prix négociable"
36,TRÈS BON ÉTAT,13,FRANCE,TOMMY HILFIGER ,XS / 34 / 6,2022-05-12 20:06:41.280351,T shirt vintage TH,10.0,"T shirtTommy Hilfiger, Vintage"
37,NEUF SANS ÉTIQUETTE,101,FRANCE,TOMMY HILFIGER ,XL / 42 / 14,2022-05-12 20:06:41.280353,Joli pantalon Tommy Hilfiger taille 40-42,25.0,"Joli pantalon Tommy Hilfiger, mesure à la taille 42cm longueur totale 94cm et longueur entre-jambe 70cm, sur l'étiquette taille 48 mais il taille petit"
