,brand,incidence
279,OAMC,0
280,Odlo,157
281,OFFICINE GENERALE,7
282,Okaïdi,984
283,Oliver Grant,94
284,Ollygan,0
285,One Step,3000
286,Orcanta,96
287,Orchestra,1416
288,Oxbow,3000
289,Oysho,3000
290,Pablo,768
291,PACO RABANNE,149
292,Pain de sucre,65
293,Pantashop (Gpmt d'indépendants),0
294,Parfois,696
295,Passionata,98
296,PATOU,15
297,Paul Smith,1488
298,PAULE KA,181
299,Pepe Jeans,3000
300,Petit Bateau,3000
301,Petites (Les),0
302,Les Petites,576
303,Phildar,3000
304,PIERRE CARDIN,2304
305,Pimkie,3000
306,Pinko,3000
307,Point Mariage,0
308,Moncler,1632
309,Prada,816
310,PrettyLittleThing,3000
311,Primark,3000
312,Princesse Tam.Tam,864
313,Promise,123
314,Promod,3000
315,Pronuptia Paris,0
316,Pull & Bear,3000
317,Pullin,792
318,Punt Roma,1992
319,Quiksilver - Billabong - Roxy,0
320,Ralph Lauren,3000
321,Polo Ralph Lauren,3000
322,Repetto,118
323,RICK OWENS,87
324,Riu Paris,67
325,ROCHAS,26
326,Rougegorge,181
327,Rougegorge Lingerie,0
328,S2 Sneakers,0
329,SACAI,19
330,Saint James,1224
331,Saint Laurent,552
332,Salamander,4
333,Salvatore Ferragamo,80
334,San Marina,43
335,Sandro,3000
336,Scotch & Soda,3000
337,Scottage,3000
338,Serge Blanco,1128
339,Sergent Major,159
340,Sézane - Octobre,0
341,Shein,3000
342,SHIATZY CHEN,0
343,Simone Pérèle,3
344,Skechers,39
345,Slip français,0
346,Le Slip français,39
347,Soeur,328
348,Sonia Rykiel,2424
349,Spartoo,0
350,Sport 2000,0
351,STELLA MCCARTNEY,306
352,Stokomani,0
353,Stradivarius,3000
354,Sud Express,3000
355,Superdry,3000
356,Sym,936
357,Tally Weijl,3000
358,Tamaris,20
359,Tanneur (Le),0
360,Le Tanneur,5
361,TAPE A L'OEIL,1512
362,Tara Jarmon,472
363,Tati,888
364,Tbs,2544
365,Le Temps Des Cerises,3000
366,Temps Des Cerises,0
367,Territoire D'Homme,0
368,Texto,369
369,The Kooples,3000
370,THOM BROWNE,24
371,Tod's France,0
372,Tommy Hilfiger,3000
373,Toscane,1176
374,Triumph,164
375,TSUMORI CHISATO,31
376,Un Jour Ailleurs,3000
377,UNDERCOVER,89
378,Undiz,3000
379,Uniqlo,3000
380,Valège,18
381,VALENTIN YUDASHKIN,0
382,VALENTINO,744
383,Vans,3000
384,VERONIQUE LEROY,2
385,Vert Baudet,0
386,VICTORIA TOMAS,0
387,Vieux Campeur ,0
388,Au Vieux Campeur,0
389,Vilebrequin,64
390,VIVIENNE WESTWOOD,165
391,Weill,452
392,Wolford,129
393,WOOYOUNGMI,7
394,X And O,0
395,Y/PROJECT,8
396,YANG LI,1
397,Yoga Searcher,0
398,YOHJI YAMAMOTO,28
399,Ysé,4
400,YVES SAINT LAURENT,412
401,Z,62
402,Zadig & Voltaire,3000
403,Zapa,792
404,Zara,3000
405,Zeeman,3000
