,brand,incidence
286,Babymoov,90236
287,Berenice,89667
288,Bimba,86075
289,Bambino,85593
290,Bambina,85302
291,Besson,79775
292,Betty Barclay,79819
293,Bellerose,78123
294,bpc bonprix collection,76259
295,Bik Bok,76028
296,BTS,74430
297,Bandai,74227
298,Banana Republic,73945
299,Blind Date,72938
300,Big Star,73092
301,Bob der Bär,72482
302,Brums,72348
303,Billieblush,70550
304,BabyGap,68673
305,Bonita,66988
306,Bocage,66132
307,BCBGMAXAZRIA,65013
308,BELLAMY,63953
309,bellybutton,63902
310,Barbour,63679
311,Bébé Rêve,61973
312,Babybjörn,61121
313,BPC Selection,60429
314,Babyface,57198
315,Brownie,56558
316,Basic,56222
317,Bianco,54908
318,Bilook,54271
319,B.P.C,54100
320,Babybotte,53171
321,Bugatti,52562
322,Brioche,51944
323,Blend,49840
324,Bianca,48188
325,Baby by Gémo,47522
326,Bestway,46344
327,Ben Sherman,45439
328,Balmain,44763
329,Bugaboo,44455
330,Blauer,44344
331,b.young,43516
332,Bhs,43004
333,B'Twin,42276
334,B.Nosy,41353
335,Bikkembergs,41048
336,Bleu bonheur,40922
337,Breil,40531
338,Bornino,39806
339,B&C,39791
340,Brotes,37881
341,BDG,37741
342,BIBA,37699
343,BRAX,37550
344,Bambini,37348
345,bopy,36584
346,Blanc du Nil,36067
347,Blumarine,35820
348,Bonmarché,35770
349,Babolat,34876
350,Basic One,34787
351,Buissonnière,34736
352,Box,33979
353,Broadway,33771
354,Belstaff,33752
355,Berlingot,33282
356,Braun,32691
357,Bronx,32651
358,byblos,32479
359,Blu,32364
360,Baby Girl,32148
361,Barts,31922
362,Bonton,31473
363,Bébé 9,31389
364,Baby Born,31055
365,BOY London,30991
366,Bisgaard,30407
367,bon brix,30240
368,BESS,30065
369,badabulle,29910
370,Bouchara,29327
371,Bering,29087
372,Blutsgeschwister,28692
373,Berti,28268
374,Betty Boop,27792
375,Bobo Choses,27786
376,BnK,27521
377,Blue Ridge,27514
378,beloved,27489
379,Babydream,27087
380,Bakkaboe,26511
381,Bordeaux,26280
382,by o la la...!,26292
383,BMW,26101
384,Barbouillage,25946
385,Blooshop,25904
386,BARBAPAPA,25886
387,Bubble Gum,25863
388,Babylove,25731
389,bama,25547
390,Bandolera,25541
391,Bien Bleu,25357
392,Blue,25194
393,Benefit,25068
394,Bogner,25013
395,Biaggini,24815
396,Brosway,24671
397,BKL Wear,24543
398,Bellissima,24148
399,Björn Borg,24070
400,Bexleys,24041
401,Black,24291
402,Bartek,23912
403,Brugi,23552
404,Bobbi Shoes,23437
405,Brentiny Paris,23357
406,Borbonese,23230
407,Banpresto,23175
408,Bayard,23086
409,Baby Nat,23072
410,Bullboxer,23041
411,Bratz,22995
412,Befado,22944
413,Boomerang,22878
414,Braccialini,22721
415,Biomecanics,21638
416,Boutique Belgique,21548
417,Basler,21223
418,Babibou,21213
419,Baby Tex,20977
420,BRUNOTTI,20779
421,Bisou's Project,20766
422,BabySun,20387
423,Belle Women,20265
424,Bruno Banani,20080
425,Baker,20014
426,Blanche,19870
427,Bally,19758
428,babou,19572
429,BALSAMIK,19385
430,bourjois,19356
431,Best Connections,19330
432,Blog by Gémo,19297
433,Bambino Mio,19260
434,Beckaro,19115
435,Bvlgari,18969
436,Bestelle,18768
437,Boy,18567
438,Bougli Bougla,18357
439,Boux Avenue,18367
440,Bronzini,18270
441,Bright Starts,17748
442,BOXEUR DES RUES,17560
443,babidu,17515
444,Blue Bay,17462
445,Barbara Bui,17330
446,Bumba,17215
447,Bobbies,16858
448,Bruno Premi,16748
449,Babystyling,16691
450,Bella,16664
451,Boots,16746
452,BOBUX,16580
453,Baci&Abbracci,16546
454,BlendShe,16477
455,Bruder,16474
456,BM,16170
457,Bamboo,16010
458,BSK,15975
459,Bburago,15902
460,Babygro,15563
461,Briefing,15553
462,Beats,15331
463,Baby Sweets,15325
464,Baldinini,15238
465,Baby one,15214
466,BLUE BOX,15166
467,Bass 10,15092
468,By Clara,15067
469,Berna,15017
470,Bala Boosté,14933
471,Black Bananas,14796
472,BOSS Hugo Boss,14799
473,Baby Boy,14630
474,Camaïeu,4891451
475,C&A,3787640
476,Cache Cache,3167085
477,Calvin Klein,1612119
478,Converse,1436756
479,Catimini,997281
480,CELIO,906547
481,Creeks,850704
482,Carhartt,737019
483,Comptoir des Cotonniers,706846
484,Cool Club,690198
485,Cyrillus,638709
486,Caroll,634082
487,Clockhouse,594795
488,Champion,526302
489,Chicco,495939
490,Cop Copine,466752
491,Calzedonia,425262
492,CROPP,410493
493,cuir,345796
494,Claudie Pierlot,318973
495,COS,304841
496,CoolCat,253241
497,Clarks,248970
498,Claire's,244803
499,Crivit,238358
500,Coccodrillo,237249
501,Chaussea,234973
502,Crocs,224167
503,Carter's,209225
504,Clementoni,201310
505,Cortefiel,196617
506,Chipie,193308
507,Costes,186844
508,Canda,175711
509,Captain Tortue,170256
510,Columbia,161347
511,Cecil,159959
512,Calliope,159327
513,Cadet Rousselle,156445
514,Chanel,156449
515,Complices,155324
516,cks,148148
517,carpisa,136585
518,Colours of the World,119428
519,Collection,114808
520,Conbipel,110630
521,Comma,109222
522,Cedar Wood State,107822
523,Colloseum,103090
524,Cubus,99865
525,Carrefour,94714
526,Chevignon,94092
527,Coast,90130
528,Christine Laure,86717
529,Chloé,83998
530,Coque,83571
531,CCC,81339
532,Cherokee,80308
533,CARRY,77188
534,Coline,75163
535,Cheap Monday,74120
536,Coca Cola,73679
537,CASSIS,73548
538,Cacharel,71749
539,Collusion,68806
540,crane,67425
541,CHATTAWAK,66727
542,Caprice de Fille,66501
543,Cotelac,65783
544,CMP,64810
545,Coccinelle,64213
546,CASIO,63167
547,Camper,62196
548,Carolina Herrera,60929
549,Closed,59227
550,C.F.K. Country For Kids,59079
551,Colline,58625
552,Cars Jeans,58094
553,CASA,58054
554,Camomilla,57826
555,COLMAR,57730
556,Coach,57447
557,Cover,54933
558,Carrera,54093
559,Christian Louboutin,52699
560,CIMARRON,52496
561,Calin Kalin,50775
562,Cargo,50680
563,CafèNoir,50415
564,Catwalk,49704
565,Cocoon,49092
566,Cath Kidston,48577
567,Céline,47928
568,Charles Vögele,47691
569,Charlie & Prune,47051
570,Clarins,44722
571,Corolle,44635
572,Chi Chi London,43775
573,Christian Dior,42937
574,Cotton Club,41037
575,Cameo Rose,40847
576,Chapter Young,39782
577,Cybex,39713
578,charanga,38826
579,Cosmoparis,38297
580,Christian Lacroix,38012
581,Cerruti,37870
582,Caprice,37862
583,Cotton On,37628
584,Custo Barcelona,37167
585,Clara Vitti,35633
586,Crazy Factory,34921
587,Casual by Gémo,34725
588,Carvela,34225
589,CHIC,33812
590,Camp David,33046
591,Compania Fantastica,32659
592,Colourful Rebel,32519
593,Caroline Biss,32090
594,Clinique,31928
595,C&A Baby Club,31505
596,Confetti,30986
597,C.P. Company,30977
598,Charlott' Lingerie,30279
599,Cupcake Couture,30107
600,Club L,30025
601,Clayeux,29855
602,Carrement Beau,29812
603,C'M Paris,29612
604,capsule,29110
605,Collezione,28962
606,Carré Blanc,28685
607,Custo,28615
608,Coconuda,28585
609,Cream,28497
610,Charm,28270
611,Cotton & Silk,27740
612,Caudalie,27644
613,Coolway,27596
614,Calvin Klein Jeans,27664
615,Caramelo,27520
616,Campus,27367
617,Collection U,27132
618,Candida,27145
619,Chantelle,27028
620,Charlotte Russe,26959
621,Craft,26925
622,Cherry Koko,26515
623,Chantal Thomass,25936
624,CHICAPRIE,25801
625,Clayton,25689
626,CHERRY,25235
627,Cable,24905
628,C'est beau la vie,24873
629,Comme des Garçons,24655
630,CELOP,24284
631,Closer By Chaussea,24130
632,Cartier,23924
633,CREW clothing Co.,23900
634,Carhartt WIP,23464
635,Carnet de Vol,23371
636,Cluse,23195
637,Chasin',22945
638,Creatrice,22631
639,CycleBand,22607
640,Café Coton,22399
641,Closet,21631
642,CAMBIO,21617
643,Collectif,21553
644,cross,21512
645,Calor,21030
646,Cashmere,20911
647,Charlie & Friends,20779
648,Corina,20745
649,Camel Active,20705
650,Cartoon,20655
651,Candide Baby,20397
652,Castaner,20392
653,Cloothes,20163
654,Christian Berg,19870
655,Carven,19581
656,Charlotte Tilbury,19217
657,Charlise,19099
658,Caterpillar,18738
659,CENSORED,18742
660,Centrakor,18675
661,Canada House,18677
662,Cypres,18570
663,Cinque,18361
664,Carlsberg,18265
665,Cecilia Classics,18051
666,Cindy-H,17790
667,Colorblock,17425
668,Clarosa,17406
669,Cerise Blue,17404
670,Casual Clothing,17287
671,Canpol Babies,17319
672,Camomilla Milano,17177
673,Charles Jourdan,17181
674,Crystal,17120
675,Charlotte aux Fraises,16883
676,Camel,16760
677,Chillin,16744
678,Cóndor,16692
679,Catrice,16592
680,charlior,16246
681,Cycle,16200
682,Claudia Sträter,16068
683,Christian Moreau,16042
684,Canterbury,15964
685,Caractère,15885
686,CROOP,15881
687,Chiara Ferragni,15641
688,CRASH ONE,15628
689,Cult,15607
690,Classic,15415
691,colline by verbaudet,15352
692,Cupshe,15393
693,Color Kids,15233
694,Cox,15142
695,Cultura,14936
696,Charlott',14908
697,Cristal,14876
698,CKH,14867
699,Cinti,14824
700,Casadei,14672
701,Chauss'expo,14642
702,Claudia Ghizzani,14568
703,Cocomore,14538
704,Cuplé,14267
705,Cousu Main,14266
706,Chiemsee,14232
707,Cairn,14136
708,Canada Goose,14028
709,Catwalk Junkie,14028
710,Criminal Damage,13943
711,Coudémail,13841
712,Cotton Traders,13836
713,Disney,7216294
714,Decathlon,3240013
715,Du Pareil au Même,2412631
716,Desigual,1499901
717,Diesel,1007134
718,Domyos,794647
719,Dr. Martens,614067
720,Dorothy Perkins,514716
721,DopoDopo,495276
722,Denim & Co.,464218
723,diverse,435968
724,Donna,393612
725,Disney Baby,371968
726,Dolce & Gabbana,366528
727,Devred,329421
728,Denim,255622
729,Dior,236479
730,DKNY,228827
731,DDP,226700
732,DIM,202973
733,Dsquared2,188628
734,Dickies,172656
735,DJECO,163220
736,Damart,161683
737,Deichmann,139794
738,Darjeeling,132271
739,Diddl,105025
740,DC,103470
741,Dirkje,100520
742,Debenhams,99645
743,Denny Rose,92937
744,Diadora,89561
745,Des Petits Hauts,87778
746,Dragon Ball,86288
747,Dunnes Stores,74574
748,Dockers,70798
749,DONDUP,57351
750,DUNE,56658
751,Daniel Hechter,53835
752,David Jones,53225
753,Double Agent,51925
754,Deeluxe,51734
755,DeeZee,51951
756,Dixie,51649
757,Despicable Me Minion Made,50849
758,DC Shoes,50394
759,Didi,49363
760,Derhy,48146
761,Defacto,43871
762,DPM By Depech Mod,42803
763,Doudou et Compagnie,41621
764,Dept,37415
765,Deluxe,37166
766,Drykorn,37021
767,Daily paper,36810
768,Dujardin,36680
769,DM,36654
770,Daxon,36581
771,Daniel Wellington,35498
772,Dreamworks,35265
773,Daphnea,34199
774,Dainese,31514
775,Dorotennis,31137
776,Drôle de Copine,31145
777,Dr. Scholl's,30845
778,Douglas,30083
779,DC Comics,29935
780,Dodie,28978
781,DESTINATION,29052
782,Dunlop,27296
783,Dakine,26235
784,Dulces,25306
785,DEVERNOIS,25302
786,Daniele Alessandrini,23803
787,Dyson,23827
788,Dodo,21875
789,Daisy Street,21735
790,Döll,20928
791,Dora the Explorer,20449
792,Deco,19617
793,Dolce Petit,19572
794,Disney Princess,18776
795,Dare2B,18626
796,Disney x Primark,17984
797,Danity,17747
798,Dimo,17636
799,Dayaday,17461
800,Doomoo,17437
801,Diane von Fürstenberg,17386
802,DISTRIKT NØRREBRO,17283
803,Disana,17219
804,Dopo Mini,17172
805,Die Spiegelburg,17150
806,Disney × Pixar,17237
807,Diplodocus,16694
808,Dustin,16324
809,Dorking,16180
810,Dolores Promesas,15944
811,Décimas,15488
812,Dolls Kill,15328
813,Dolce,15283
814,Dodipetto,15228
815,Dimensione Danza,15233
816,Dino,14389
817,Diva,14348
818,Dare2be,14198
819,Däumling,14183
820,D&G,14184
821,DECA,13918
822,Don't Call Me Jennyfer,14001
823,Daysie,13794
824,Debut,13628
825,Dolce Vita,13499
826,Dimo-tex,13443
827,Deby Debo,13306
828,Denham,13322
829,DaWanda,13222
830,DATCH,13230
831,DANI,13193
832,Diamant,13043
833,Donaldson,12902
834,Doña Carmen,12769
835,DEHA,12710
836,Derby,12629
837,Distrikt,12611
838,Donna Piu',12347
839,DI FONTANA,11727
840,Ducati,11591
841,D-zine,11449
842,Degré 7,11244
