,brand,incidence
281,OFFICINE GENERALE,47
282,Okaïdi,1128
283,Oliver Grant,35
284,Ollygan,0
285,One Step,3000
286,Orcanta,1
287,Orchestra,1224
288,Oxbow,1512
289,Oysho,37
290,Pablo,372
291,PACO RABANNE,26
292,Pain de sucre,0
293,Pantashop (Gpmt d'indépendants),0
294,Parfois,145
295,Passionata,4
296,PATOU,0
297,Paul Smith,1008
298,PAULE KA,22
299,Pepe Jeans,3000
300,Petit Bateau,138
301,Petites (Les),0
302,Les Petites,624
303,Phildar,2400
304,PIERRE CARDIN,2352
305,Pimkie,3000
306,Pinko,3000
307,Point Mariage,1
308,Moncler,76
309,Prada,1464
310,PrettyLittleThing,3000
311,Primark,3000
312,Princesse Tam.Tam,31
313,Promise,40
314,Promod,3000
315,Pronuptia Paris,0
316,Pull & Bear,3000
317,Pullin,552
318,Punt Roma,405
319,Quiksilver - Billabong - Roxy,0
320,Ralph Lauren,3000
321,Polo Ralph Lauren,1272
322,Repetto,2
323,RICK OWENS,68
324,Riu Paris,16
325,ROCHAS,10
326,Rougegorge,3
327,Rougegorge Lingerie,0
328,S2 Sneakers,0
329,SACAI,2
330,Saint James,243
331,Saint Laurent,497
332,Salamander,1
333,Salvatore Ferragamo,31
334,San Marina,28
335,Sandro,3000
336,Scotch & Soda,3000
337,Scottage,1224
338,Serge Blanco,936
339,Sergent Major,94
340,Sézane - Octobre,0
341,Shein,3000
342,SHIATZY CHEN,0
343,Simone Pérèle,1
344,Skechers,2
345,Slip français,0
346,Le Slip français,2
347,Soeur,349
348,Sonia Rykiel,263
349,Spartoo,0
350,Sport 2000,0
351,STELLA MCCARTNEY,576
352,Stokomani,0
353,Stradivarius,3000
354,Sud Express,3000
355,Superdry,3000
356,Sym,412
357,Tally Weijl,3000
358,Tamaris,4
359,Tanneur (Le),0
360,Le Tanneur,15
361,TAPE A L'OEIL,1248
362,Tara Jarmon,302
363,Tati,481
364,Tbs,768
365,Le Temps Des Cerises,3000
366,Temps Des Cerises,0
367,Territoire D'Homme,0
368,Texto,137
369,The Kooples,3000
370,THOM BROWNE,2
371,Tod's France,0
372,Tommy Hilfiger,3000
373,Toscane,173
374,Triumph,9
375,TSUMORI CHISATO,2
376,Un Jour Ailleurs,648
377,UNDERCOVER,18
378,Undiz,54
379,Uniqlo,3000
380,Valège,7
381,VALENTIN YUDASHKIN,0
382,VALENTINO,528
383,Vans,1296
384,VERONIQUE LEROY,0
385,Vert Baudet,0
386,VICTORIA TOMAS,0
387,Vieux Campeur ,0
388,Au Vieux Campeur,0
389,Vilebrequin,2
390,VIVIENNE WESTWOOD,124
391,Weill,300
392,Wolford,2
393,WOOYOUNGMI,0
394,X And O,0
395,Y/PROJECT,15
396,YANG LI,2
397,Yoga Searcher,0
398,YOHJI YAMAMOTO,6
399,Ysé,0
400,YVES SAINT LAURENT,346
401,Z,45
402,Zadig & Voltaire,3000
403,Zapa,1392
404,Zara,3000
405,Zeeman,648
