,brand,incidence
283,Oliver Grant,0
284,Ollygan,0
285,One Step,211
286,Orcanta,0
287,Orchestra,107
288,Oxbow,74
289,Oysho,380
290,Pablo,27
291,PACO RABANNE,8
292,Pain de sucre,1
293,Pantashop (Gpmt d'indépendants),0
294,Parfois,1272
295,Passionata,1
296,PATOU,2
297,Paul Smith,1176
298,PAULE KA,21
299,Pepe Jeans,3000
300,Petit Bateau,9
301,Petites (Les),0
302,Les Petites,78
303,Phildar,4
304,PIERRE CARDIN,118
305,Pimkie,2472
306,Pinko,528
307,Point Mariage,1
308,Moncler,576
309,Prada,3000
310,PrettyLittleThing,244
311,Primark,3000
312,Princesse Tam.Tam,3
313,Promise,1
314,Promod,2856
315,Pronuptia Paris,0
316,Pull & Bear,3000
317,Pullin,21
318,Punt Roma,115
319,Quiksilver - Billabong - Roxy,0
320,Ralph Lauren,3000
321,Polo Ralph Lauren,1200
322,Repetto,119
323,RICK OWENS,231
324,Riu Paris,1
325,ROCHAS,4
326,Rougegorge,1
327,Rougegorge Lingerie,0
328,S2 Sneakers,0
329,SACAI,720
330,Saint James,5
331,Saint Laurent,984
332,Salamander,212
333,Salvatore Ferragamo,304
334,San Marina,2496
335,Sandro,3000
336,Scotch & Soda,331
337,Scottage,0
338,Serge Blanco,132
339,Sergent Major,5
340,Sézane - Octobre,0
341,Shein,3000
342,SHIATZY CHEN,0
343,Simone Pérèle,0
344,Skechers,3000
345,Slip français,0
346,Le Slip français,5
347,Soeur,1
348,Sonia Rykiel,145
349,Spartoo,0
350,Sport 2000,0
351,STELLA MCCARTNEY,648
352,Stokomani,0
353,Stradivarius,3000
354,Sud Express,30
355,Superdry,1752
356,Sym,2
357,Tally Weijl,178
358,Tamaris,2376
359,Tanneur (Le),0
360,Le Tanneur,2
361,TAPE A L'OEIL,167
362,Tara Jarmon,17
363,Tati,42
364,Tbs,2352
365,Le Temps Des Cerises,3000
366,Temps Des Cerises,0
367,Territoire D'Homme,0
368,Texto,2832
369,The Kooples,1536
370,THOM BROWNE,17
371,Tod's France,0
372,Tommy Hilfiger,3000
373,Toscane,3
374,Triumph,0
375,TSUMORI CHISATO,1
376,Un Jour Ailleurs,5
377,UNDERCOVER,58
378,Undiz,6
379,Uniqlo,27
380,Valège,14
381,VALENTIN YUDASHKIN,0
382,VALENTINO,2832
383,Vans,3000
384,VERONIQUE LEROY,0
385,Vert Baudet,0
386,VICTORIA TOMAS,0
387,Vieux Campeur ,0
388,Au Vieux Campeur,0
389,Vilebrequin,0
390,VIVIENNE WESTWOOD,36
391,Weill,7
392,Wolford,0
393,WOOYOUNGMI,2
394,X And O,0
395,Y/PROJECT,0
396,YANG LI,0
397,Yoga Searcher,0
398,YOHJI YAMAMOTO,139
399,Ysé,0
400,YVES SAINT LAURENT,720
401,Z,4
402,Zadig & Voltaire,1824
403,Zapa,50
404,Zara,3000
405,Zeeman,66
