,brand,incidence
282,Okaïdi,77
283,Oliver Grant,528
284,Ollygan,0
285,One Step,3000
286,Orcanta,0
287,Orchestra,80
288,Oxbow,96
289,Oysho,69
290,Pablo,493
291,PACO RABANNE,130
292,Pain de sucre,3
293,Pantashop (Gpmt d'indépendants),0
294,Parfois,109
295,Passionata,1
296,PATOU,0
297,Paul Smith,1200
298,PAULE KA,358
299,Pepe Jeans,1464
300,Petit Bateau,99
301,Petites (Les),0
302,Les Petites,720
303,Phildar,1368
304,PIERRE CARDIN,1848
305,Pimkie,3000
306,Pinko,3000
307,Point Mariage,26
308,Moncler,89
309,Prada,744
310,PrettyLittleThing,3000
311,Primark,3000
312,Princesse Tam.Tam,19
313,Promise,66
314,Promod,3000
315,Pronuptia Paris,0
316,Pull & Bear,3000
317,Pullin,28
318,Punt Roma,696
319,Quiksilver - Billabong - Roxy,0
320,Ralph Lauren,3000
321,Polo Ralph Lauren,270
322,Repetto,4
323,RICK OWENS,22
324,Riu Paris,8
325,ROCHAS,127
326,Rougegorge,2
327,Rougegorge Lingerie,0
328,S2 Sneakers,0
329,SACAI,2
330,Saint James,90
331,Saint Laurent,441
332,Salamander,0
333,Salvatore Ferragamo,127
334,San Marina,19
335,Sandro,3000
336,Scotch & Soda,2400
337,Scottage,672
338,Serge Blanco,253
339,Sergent Major,17
340,Sézane - Octobre,0
341,Shein,3000
342,SHIATZY CHEN,0
343,Simone Pérèle,2
344,Skechers,0
345,Slip français,0
346,Le Slip français,0
347,Soeur,166
348,Sonia Rykiel,744
349,Spartoo,0
350,Sport 2000,0
351,STELLA MCCARTNEY,145
352,Stokomani,0
353,Stradivarius,3000
354,Sud Express,552
355,Superdry,319
356,Sym,696
357,Tally Weijl,3000
358,Tamaris,3
359,Tanneur (Le),0
360,Le Tanneur,1
361,TAPE A L'OEIL,71
362,Tara Jarmon,1728
363,Tati,80
364,Tbs,114
365,Le Temps Des Cerises,2544
366,Temps Des Cerises,0
367,Territoire D'Homme,0
368,Texto,58
369,The Kooples,3000
370,THOM BROWNE,13
371,Tod's France,0
372,Tommy Hilfiger,3000
373,Toscane,126
374,Triumph,3
375,TSUMORI CHISATO,6
376,Un Jour Ailleurs,3000
377,UNDERCOVER,6
378,Undiz,26
379,Uniqlo,1176
380,Valège,1
381,VALENTIN YUDASHKIN,0
382,VALENTINO,792
383,Vans,11
384,VERONIQUE LEROY,5
385,Vert Baudet,0
386,VICTORIA TOMAS,0
387,Vieux Campeur ,0
388,Au Vieux Campeur,0
389,Vilebrequin,1
390,VIVIENNE WESTWOOD,120
391,Weill,1128
392,Wolford,11
393,WOOYOUNGMI,4
394,X And O,0
395,Y/PROJECT,5
396,YANG LI,1
397,Yoga Searcher,0
398,YOHJI YAMAMOTO,61
399,Ysé,1
400,YVES SAINT LAURENT,1560
401,Z,2
402,Zadig & Voltaire,2376
403,Zapa,1392
404,Zara,3000
405,Zeeman,269
