,brand,incidence
288,Oxbow,0
289,Oysho,7
290,Pablo,1
291,PACO RABANNE,38
292,Pain de sucre,5
293,Pantashop (Gpmt d'indépendants),0
294,Parfois,0
295,Passionata,0
296,PATOU,4
297,Paul Smith,173
298,PAULE KA,5
299,Pepe Jeans,48
300,Petit Bateau,18
301,Petites (Les),0
302,Les Petites,2
303,Phildar,0
304,PIERRE CARDIN,16
305,Pimkie,10
306,Pinko,238
307,Point Mariage,0
308,Moncler,128
309,Prada,410
310,PrettyLittleThing,0
311,Primark,0
312,Princesse Tam.Tam,41
313,Promise,0
314,Promod,8
315,Pronuptia Paris,0
316,Pull & Bear,39
317,Pullin,0
318,Punt Roma,0
319,Quiksilver - Billabong - Roxy,0
320,Ralph Lauren,200
321,Polo Ralph Lauren,370
322,Repetto,1
323,RICK OWENS,50
324,Riu Paris,0
325,ROCHAS,0
326,Rougegorge,0
327,Rougegorge Lingerie,0
328,S2 Sneakers,0
329,SACAI,47
330,Saint James,20
331,Saint Laurent,394
332,Salamander,0
333,Salvatore Ferragamo,43
334,San Marina,0
335,Sandro,221
336,Scotch & Soda,64
337,Scottage,0
338,Serge Blanco,1
339,Sergent Major,0
340,Sézane - Octobre,0
341,Shein,0
342,SHIATZY CHEN,9
343,Simone Pérèle,2
344,Skechers,0
345,Slip français,0
346,Le Slip français,0
347,Soeur,2
348,Sonia Rykiel,39
349,Spartoo,0
350,Sport 2000,0
351,STELLA MCCARTNEY,160
352,Stokomani,0
353,Stradivarius,23
354,Sud Express,1
355,Superdry,71
356,Sym,0
357,Tally Weijl,17
358,Tamaris,1
359,Tanneur (Le),0
360,Le Tanneur,0
361,TAPE A L'OEIL,0
362,Tara Jarmon,6
363,Tati,0
364,Tbs,0
365,Le Temps Des Cerises,4
366,Temps Des Cerises,0
367,Territoire D'Homme,0
368,Texto,0
369,The Kooples,104
370,THOM BROWNE,16
371,Tod's France,0
372,Tommy Hilfiger,320
373,Toscane,2
374,Triumph,1
375,TSUMORI CHISATO,19
376,Un Jour Ailleurs,1
377,UNDERCOVER,70
378,Undiz,0
379,Uniqlo,62
380,Valège,0
381,VALENTIN YUDASHKIN,0
382,VALENTINO,344
383,Vans,62
384,VERONIQUE LEROY,8
385,Vert Baudet,0
386,VICTORIA TOMAS,3
387,Vieux Campeur ,0
388,Au Vieux Campeur,0
389,Vilebrequin,6
390,VIVIENNE WESTWOOD,104
391,Weill,0
392,Wolford,25
393,WOOYOUNGMI,1
394,X And O,0
395,Y/PROJECT,8
396,YANG LI,6
397,Yoga Searcher,0
398,YOHJI YAMAMOTO,28
399,Ysé,0
400,YVES SAINT LAURENT,127
401,Z,19
402,Zadig & Voltaire,226
403,Zapa,3
404,Zara,509
405,Zeeman,0
